City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
245,Buala,SB,-8.145,159.5921,79.29,78,26,3.74,scattered clouds
246,Saldanha,ZA,-33.0117,17.9442,74.34,34,5,13.53,clear sky
247,Marawi,PH,7.9986,124.2928,69.22,93,100,2.1,overcast clouds
248,Lazaro Cardenas,MX,17.9583,-102.2,81.21,66,100,2.3,overcast clouds
249,Lorengau,PG,-2.0226,147.2712,80.35,69,10,5.28,clear sky
250,Svetlaya,RU,46.5389,138.3297,45.25,94,100,8.28,overcast clouds
251,Poum,NC,-20.2333,164.0167,74.59,83,100,10.65,overcast clouds
252,Baker City,US,44.7749,-117.8344,63.19,79,75,5.75,broken clouds
253,Springbok,ZA,-29.6643,17.8865,73.38,14,55,18.97,broken clouds
254,Linjiang,CN,41.8069,126.9078,57.78,96,100,0.96,overcast clouds
255,Oktyabrskoye,RU,43.0645,44.7417,77.14,34,40,13.42,scattered clouds
256,Lucapa,AO,-8.4192,20.7447,83.48,22,14,4.72,few clouds
257,Mahebourg,MU,-20.4081,57.7,72.25,78,75,11.5,broken clouds
258,Kruisfontein,ZA,-34.0033,24.7314,73.89,41,0,4.34,clear sky
259,Terrace,CA,54.5163,-128.6035,51.71,100,75,8.05,broken clouds
260,Mazamari,PE,-11.3258,-74.5308,71.22,92,59,1.16,broken clouds
261,Juneau,US,58.3019,-134.4197,55.22,89,100,11.5,light rain
262,Sao Filipe,CV,14.8961,-24.4956,75.51,80,1,9.17,clear sky
263,Castro,BR,-24.7911,-50.0119,59.79,90,100,8.52,light rain
264,Mandalgovi,MN,45.7625,106.2708,43.21,88,100,32.41,overcast clouds
265,Jacareacanga,BR,-6.2222,-57.7528,85.26,62,95,3.18,overcast clouds
266,Kalmunai,LK,7.4167,81.8167,85.77,67,100,6.58,overcast clouds
267,Waddan,LY,29.1614,16.139,101.32,16,0,17.54,clear sky
268,Rio Gallegos,AR,-51.6226,-69.2181,39.25,56,100,20.71,overcast clouds
269,Sechura,PE,-5.5569,-80.8222,68.07,74,47,11.79,scattered clouds
270,Kahului,US,20.8947,-156.47,75.85,75,0,8.01,clear sky
271,Sur,OM,22.5667,59.5289,97.2,46,0,1.72,clear sky
272,San Ramon,US,37.7799,-121.978,73.53,70,0,1.01,clear sky
273,Raudeberg,NO,61.9875,5.1352,58.96,81,100,19.17,light rain
274,Oranjemund,NA,-28.55,16.4333,80.58,23,0,5.12,clear sky
275,Quatre Cocos,MU,-20.2078,57.7625,72.09,78,81,15.19,light rain
