City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
256,Lucapa,AO,83.48,few clouds,-8.4192,20.7447,Lírio Mendes
262,Sao Filipe,CV,75.51,clear sky,14.8961,-24.4956,Hotel Xaguate
265,Jacareacanga,BR,85.26,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
266,Kalmunai,LK,85.77,overcast clouds,7.4167,81.8167,VS Villa
270,Kahului,US,75.85,clear sky,20.8947,-156.47,Maui Seaside Hotel
276,Port-Gentil,GA,82.36,scattered clouds,-0.7193,8.7815,Fengshui Residence
279,Las Cruces,US,87.91,clear sky,32.3123,-106.7783,SpringHill Suites by Marriott Las Cruces
283,Vanimo,PG,79.2,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
284,Domodossola,IT,86.05,clear sky,46.1165,8.2931,Eurossola
285,Nago,JP,81.45,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
286,Lourdes,FR,80.08,clear sky,43.1,-0.05,"Hôtel Saint Etienne, Lourdes"
287,La Rioja,ES,85.78,overcast clouds,42.25,-2.5,Casa Concejos
288,Mayo,US,76.33,clear sky,38.8876,-76.5119,Resorts Resource Group International
289,Meulaboh,ID,77.07,overcast clouds,4.1363,96.1285,Kost Pria
297,Ales,FR,87.69,clear sky,44.1333,4.0833,ibis Alès Centre-Ville
302,Oeiras Do Para,BR,80.8,overcast clouds,-2.0031,-49.8544,Araticu Soft Hotel
305,Luau,AO,79.79,overcast clouds,-10.7073,22.2247,Casa- Bernardo Cândido
306,Fare,PF,79.45,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
314,Ndungu,TZ,79.54,overcast clouds,-4.3667,38.05,Nick Resort
318,Cabo Rojo,PR,88.25,overcast clouds,18.0866,-67.1457,Hotel Perichi's
319,Sorong,ID,79.63,light rain,-0.8833,131.25,Waigo Splash Hotel
323,Nabire,ID,76.44,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
326,Lanja,IN,80.26,heavy intensity rain,16.85,73.55,Naivedyam Farmstay
330,Dharchula,IN,76.98,broken clouds,29.85,80.5333,Mahara Hotel
331,Aden,YE,89.29,broken clouds,12.7794,45.0367,Sama Emirate Hotel
332,Canico,PT,83.71,few clouds,32.6333,-16.85,Quinta Splendida Wellness & Botanical Garden
347,Okitipupa,NG,83.28,light rain,6.5047,4.7839,Coastal Hotel & Suites
350,Namibe,AO,81.81,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
351,Coahuayana,MX,78.37,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
360,Penukonda,IN,88.27,broken clouds,14.0833,77.5833,Nikhara Fort
366,Vega De Alatorre,MX,82.15,overcast clouds,20.0333,-96.6333,Hotel D Luxe
367,Praia,CV,84.74,clear sky,14.9215,-23.5087,LT Aparthotel
369,Sambava,MG,75.97,few clouds,-14.2667,50.1667,Melrose
373,Aleppo,SY,89.89,clear sky,36.25,37.5,أمل دوريش
374,Muncar,ID,77.27,heavy intensity rain,-8.4333,114.3333,Zaky Homestay
379,Esqueda,MX,78.6,broken clouds,30.7167,-109.5833,Hotel Esqueda
380,Nova Era,BR,79.63,clear sky,-19.75,-43.0375,Garden Hotel
382,Chaiyaphum,TH,81.45,overcast clouds,15.75,102.0,BBM Hotel
383,Korla,CN,86.94,few clouds,41.7597,86.1469,Gulisitan Hotel
385,Taos,US,76.21,clear sky,36.4072,-105.5731,El Monte Sagrado
386,Boyolangu,ID,76.82,light rain,-8.1181,111.8935,Yos ega cv
387,Pachmarhi,IN,89.24,broken clouds,22.4667,78.4333,TBT Budget Stays
388,Butterworth,MY,82.44,moderate rain,5.3991,100.3638,Cititel Penang
390,Pathein,MM,80.02,overcast clouds,16.7833,94.7333,Pathein Hotel
391,Touros,BR,83.89,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
392,Mawlaik,MM,77.23,overcast clouds,23.6333,94.4167,AKZ Guest House
393,Dong Xoai,VN,77.59,light rain,11.5333,106.9167,Khách Sạn Bình Phước - Khách Sạn Ngọc Lan
394,Milas,TR,88.95,broken clouds,37.3164,27.7839,Milashan Hotel
397,Sao Joao Da Barra,BR,78.89,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
408,Jieshi,CN,79.43,light rain,22.8134,115.8257,Yuehai Hotel
409,Kavaratti,IN,83.35,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
410,Zhuhai,CN,82.18,scattered clouds,22.2769,113.5678,珠海粤财假日酒店
417,Kavieng,PG,81.23,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
419,Chirongui,YT,80.53,few clouds,-12.9319,45.1483,La Villa Mahatsara
423,Ixtapa,MX,78.22,overcast clouds,20.7,-105.2,hotel la terminal
428,Sarangani,PH,84.43,overcast clouds,5.4033,125.4636,JVL Inn and Cafeteria
436,Culfa,AZ,85.87,scattered clouds,38.9558,45.6308,Hotel Araz
440,Labuhan,ID,79.93,overcast clouds,-6.8844,112.2051,DoubleFAG
445,Shakhtinsk,KZ,77.72,broken clouds,49.71,72.5872,Orifleym
447,Yanam,IN,83.5,overcast clouds,16.7333,82.2167,The Regency Hotel
451,Celestun,MX,81.79,clear sky,20.8667,-90.4,Posada Lilia
452,Bidar,IN,83.23,broken clouds,17.9,77.55,Kaveri Hotel
454,Eufaula,US,82.44,thunderstorm,31.8913,-85.1455,Days Inn by Wyndham Eufaula AL
458,Pedernales,DO,83.77,broken clouds,18.0384,-71.744,Hotel Costa Marina
460,Dongsheng,CN,75.0,overcast clouds,39.8161,109.9776,Crowne Plaza Ordos
464,Bahile,PH,80.11,clear sky,9.9995,118.7878,Nitivos Beach Resort
466,Namatanai,PG,78.24,clear sky,-3.6667,152.4333,Seagulls Inn Namatani
