City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
249,Okhotsk,RU,2022-06-06 19:57:15,59.3833,143.3,49.44,76,51,0.49
250,Vredendal,ZA,2022-06-06 19:57:16,-31.6683,18.5012,68.67,21,98,8.72
251,Mandalgovi,MN,2022-06-06 19:57:16,45.7625,106.2708,49.5,63,38,16.33
252,San Juan De Los Morros,VE,2022-06-06 19:57:16,9.9115,-67.3538,84.0,56,93,4.21
253,Palestine,PS,2022-06-06 19:57:16,31.9216,35.2033,66.94,79,7,4.41
254,Kargil,IN,2022-06-06 19:57:17,34.5667,76.1,51.94,35,19,6.22
255,Poum,NC,2022-06-06 19:57:17,-20.2333,164.0167,76.05,74,94,11.43
256,Kabalo,CD,2022-06-06 19:57:17,-6.05,26.9167,72.34,49,10,4.72
257,Namibe,AO,2022-06-06 19:57:18,-15.1961,12.1522,73.02,62,7,1.66
258,Batemans Bay,AU,2022-06-06 19:57:18,-35.7167,150.1833,48.09,60,1,8.39
259,Kralendijk,BQ,2022-06-06 19:57:18,12.15,-68.2667,81.01,84,8,21.25
260,Kalmunai,LK,2022-06-06 19:57:19,7.4167,81.8167,77.92,84,100,9.71
261,Iracoubo,GF,2022-06-06 19:57:19,5.4802,-53.2011,78.75,86,100,7.09
262,Pringsewu,ID,2022-06-06 19:57:19,-5.3582,104.9744,72.48,96,64,2.44
263,Salvacion,PH,2022-06-06 19:57:20,7.9833,126.1333,72.07,98,79,2.13
264,Mercedes,AR,2022-06-06 19:57:20,-34.6515,-59.4307,62.85,49,0,1.99
265,Serafimovich,RU,2022-06-06 19:57:20,49.5786,42.736,56.62,80,0,7.31
266,Waipawa,NZ,2022-06-06 19:57:21,-41.4122,175.5153,46.38,89,16,5.82
267,Kawambwa,ZM,2022-06-06 19:57:21,-9.7915,29.0791,62.31,56,65,8.03
268,Magistralnyy,RU,2022-06-06 19:57:21,56.1725,107.4458,52.48,70,5,2.86
269,Mount Isa,AU,2022-06-06 19:53:43,-20.7333,139.5,56.97,58,0,9.22
270,Moa,CU,2022-06-06 19:58:22,20.6569,-74.9403,88.11,62,87,9.95
